experiment,dataset,lambda_tv,iteration,psnr_3d,ssim_3d,type
baseline_chest_tv01,chest,0.1,2500,30.70123672485352,0.8596249024073283,baseline
baseline_chest_tv01,chest,0.1,5000,31.472774505615234,0.8771926363309225,baseline
baseline_chest_tv01,chest,0.1,7500,31.717697143554688,0.8818050622940063,baseline
baseline_chest_tv01,chest,0.1,10000,31.888824462890625,0.8853450020154318,baseline
baseline_foot_tv01,foot,0.1,2500,30.40555191040039,0.8420642415682474,baseline
baseline_foot_tv01,foot,0.1,5000,30.59872055053711,0.8481140732765198,baseline
baseline_foot_tv01,foot,0.1,7500,30.63953018188477,0.8518352707227071,baseline
baseline_foot_tv01,foot,0.1,10000,30.652353286743164,0.8513103524843851,baseline
baseline_head_tv01,head,0.1,2500,34.75227737426758,0.9357784986495972,baseline
baseline_head_tv01,head,0.1,5000,35.76250076293945,0.9479724168777466,baseline
baseline_head_tv01,head,0.1,7500,36.201507568359375,0.9531700809796652,baseline
baseline_head_tv01,head,0.1,10000,36.48832702636719,0.9555162191390992,baseline
baseline_jaw_tv01,jaw,0.1,2500,32.93186950683594,0.8072695136070251,baseline
baseline_jaw_tv01,jaw,0.1,5000,33.316619873046875,0.8176365494728088,baseline
baseline_jaw_tv01,jaw,0.1,7500,33.38056564331055,0.8197265068689982,baseline
baseline_jaw_tv01,jaw,0.1,10000,33.41995620727539,0.8202692866325378,baseline
baseline_pancreas_tv01,pancreas,0.1,2500,32.0088996887207,0.901348332564036,baseline
baseline_pancreas_tv01,pancreas,0.1,5000,32.82242584228516,0.9124008019765218,baseline
baseline_pancreas_tv01,pancreas,0.1,7500,32.90777587890625,0.9168953895568848,baseline
baseline_pancreas_tv01,pancreas,0.1,10000,32.925575256347656,0.9175385236740112,baseline
baseline_pine_tv005,pine,0.05,2500,37.2182502746582,0.926202138264974,baseline
baseline_pine_tv005,pine,0.05,5000,37.393310546875,0.925469974676768,baseline
baseline_pine_tv005,pine,0.05,7500,37.425086975097656,0.9238503774007162,baseline
baseline_pine_tv005,pine,0.05,10000,37.31242370605469,0.9229711890220642,baseline
baseline_pine_tv01,pine,0.1,2500,37.03795623779297,0.925791561603546,baseline
baseline_pine_tv01,pine,0.1,5000,37.456573486328125,0.9260632991790771,baseline
baseline_pine_tv01,pine,0.1,7500,37.55581665039063,0.9253726800282795,baseline
baseline_pine_tv01,pine,0.1,10000,37.691200256347656,0.9253034194310508,baseline
baseline_seashell_tv005,seashell,0.05,2500,39.70742416381836,0.9401114384333292,baseline
baseline_seashell_tv005,seashell,0.05,5000,40.10589599609375,0.9395631551742554,baseline
baseline_seashell_tv005,seashell,0.05,7500,40.135772705078125,0.9377432068188986,baseline
baseline_seashell_tv005,seashell,0.05,10000,40.173587799072266,0.9397316972414652,baseline
baseline_seashell_tv01,seashell,0.1,2500,39.56032180786133,0.939663847287496,baseline
baseline_seashell_tv01,seashell,0.1,5000,40.15878677368164,0.9406768679618835,baseline
baseline_seashell_tv01,seashell,0.1,7500,40.37410354614258,0.942012389500936,baseline
baseline_seashell_tv01,seashell,0.1,10000,40.421669006347656,0.94173796971639,baseline
baseline_walnut_tv005,walnut,0.05,2500,29.44945335388184,0.6900070508321127,baseline
baseline_walnut_tv005,walnut,0.05,5000,29.292694091796875,0.680440366268158,baseline
baseline_walnut_tv005,walnut,0.05,7500,29.088882446289062,0.6732985178629557,baseline
baseline_walnut_tv005,walnut,0.05,10000,28.970355987548828,0.6705597639083862,baseline
baseline_walnut_tv01,walnut,0.1,2500,29.55664825439453,0.6905287305514017,baseline
baseline_walnut_tv01,walnut,0.1,5000,29.54317092895508,0.6830182671546936,baseline
baseline_walnut_tv01,walnut,0.1,7500,29.45113754272461,0.6778210600217184,baseline
baseline_walnut_tv01,walnut,0.1,10000,29.421480178833008,0.67558221022288,baseline
distill_pine_tv0.1,pine,0.1,2500,38.2246020096622,0.926945753879737,distill
distill_pine_tv0.1,pine,0.1,5000,38.452784151635896,0.9299331988975524,distill
distill_pine_tv0.1,pine,0.1,7500,38.411950379573184,0.9342183775457338,distill
distill_pine_tv0.1,pine,0.1,10000,38.053002121741976,0.9467372008761388,distill
distill_seashell_tv0.1,seashell,0.1,2500,38.66400512656533,0.9444498424909146,distill
distill_seashell_tv0.1,seashell,0.1,5000,39.07978854916734,0.9448233777281418,distill
distill_seashell_tv0.1,seashell,0.1,7500,39.18430194036465,0.9477490228152508,distill
distill_seashell_tv0.1,seashell,0.1,10000,39.18430194036465,0.9477490228152508,distill
distill_walnut_tv0.1,walnut,0.1,2500,29.497421883342422,0.6879377580782668,distill
distill_walnut_tv0.1,walnut,0.1,5000,29.61103567404832,0.6853878877689276,distill
distill_walnut_tv0.1,walnut,0.1,7500,29.552429312031315,0.6866933538990746,distill
distill_walnut_tv0.1,walnut,0.1,10000,29.493703599981917,0.702985723285752,distill
