视图数,实验类型,迭代次数,PSNR(dB),SSIM,蒸馏PSNR提升,蒸馏SSIM提升
25,蒸馏,2500,38.2253,0.927167,1.1874,0.001367
25,蒸馏,5000,38.3876,0.929674,0.9310,0.003611
25,蒸馏,7500,38.3165,0.933744,0.7607,0.008371
25,蒸馏,10000,37.9485,0.946236,0.2573,0.020933
50,蒸馏,2500,39.5305,0.937092,1.8636,0.002241
50,蒸馏,5000,40.1395,0.941962,1.5879,0.003859
50,蒸馏,7500,39.9894,0.947277,0.6311,0.008651
50,蒸馏,10000,39.7461,0.957814,0.6190,0.017855
75,蒸馏,2500,40.06,0.9397,2.5300,0.0012
75,蒸馏,5000,40.03,0.9428,1.0700,0.0018
75,蒸馏,7500,40.30,0.9488,1.3700,0.0094
75,蒸馏,10000,40.15,0.9597,1.1000,0.0162
